Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Morias,Dagenham & Redbridge,"CF, RW, AMF",27,150000,2023-06-30,12,912,6,2.76,3,1.84,16.38,38.55,Jamaica,"Jamaica, England",right,173,68,no,1.68,2.37,50,1.38,21.43,0,0,0,0.49,0.68,0.99,1,0.1,0,0,4.44,0.59,6,0.59,0.27,1,0.1,20,1.97,45,30,0.3,1.88,42.11,0.69,42.86,1.18,41.67,0.59,3.85,69.23,10.07,40.2,3.36,2.37,0.79,14.61,2.07,0.99,22.2,81.33,4.44,62.22,7.01,91.55,6.71,83.82,19.64,86.43,0.69,42.86,16.52,10.94,0.18,1.38,0,0,0.1,100,0.59,2.27,69.57,1.97,60,0.1,0,1.18,1.09,2.57,69.23,0,,0,,0,0,0,0,,,0.79,,,0,0,0,0.1,0,0
A. Marsh,Scunthorpe United,"CF, LAMF",19,100000,2023-06-30,3,190,0,0.05,0,0.17,23.68,44,England,England,,172,60,yes,6.63,4.74,70,3.79,25,0.47,0.73,0,2.84,4.39,1.42,0,0,0,0,2.84,0,0,0,0.02,0,0,2,0.95,0,0,0,2.37,20,1.89,25,0.47,0,0.47,3.79,62.5,11.84,48,1.89,2.37,1.42,9.95,0.47,1.42,20.84,81.82,5.68,83.33,5.68,100,5.21,81.82,17.53,89.19,1.42,66.67,17.66,27.55,0.08,0.47,0,0,0,0,0.47,1.89,75,0.95,100,0,0,0.95,0.47,3.32,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
S. Nelson,Woking,CF,26,100000,2023-06-30,1,2,0,0,0,0,,,England,England,right,185,75,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
H. Ghandour,Maidstone United,"LAMF, CF, RWB",22,100000,2023-06-30,4,111,0,0.2,0,0.03,29.19,30.56,England,"England, Lebanon",right,189,0,no,5.68,8.11,40,8.11,10,0,0,0,2.43,4.09,2.43,1,0.81,1,0.81,0.81,0,0,0,0.16,0,0,1,0.81,100,0,0,0,0,0,0,0,0,0,0,0,8.11,30,2.43,0,0.81,3.24,0.81,1.62,12.16,73.33,4.05,80,0.81,100,4.05,60,11.35,71.43,0.81,100,15.91,5.58,0.02,0.81,0,0,0,0,0,0.81,100,0.81,0,0,0,0,0,2.43,33.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
R. Browne,Wealdstone,CF,26,50000,2023-06-30,13,1092,7,4.51,0,0.61,24.48,33.33,England,"England, Antigua and Barbuda",right,175,75,no,2.31,2.23,62.96,4.53,16.36,0.08,0.12,0,0.82,1.23,0.66,3,0.25,0,0,3.3,0.58,6,0.49,0.37,0,0,28,2.31,42.86,25,0,0.41,40,0.08,0,0.33,50,0,4.53,45.45,13.1,37.11,2.72,1.32,0.74,11.46,1.9,1.81,17.06,80.19,3.79,60.87,6.1,89.19,4.37,83.02,15.74,81.68,0.99,75,15.21,17.98,0.05,0.74,0.08,0,0.25,33.33,0.33,1.65,65,1.15,64.29,0.25,66.67,0.99,0,1.32,75,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,1,100
G. Alexander,Bromley,"CF, RWF",21,50000,2023-06-30,6,392,1,3.01,0,1.22,27.55,27.5,England,England,,0,0,no,4.59,4.13,72.22,5.74,12,0.23,0.34,0.23,1.38,2.05,2.07,0,0,0,0,3.44,0.23,1,0.23,0.69,0,0,12,2.76,41.67,8.333,0,1.15,40,0.23,0,0.92,50,0.23,3.44,53.33,11.02,27.08,4.36,1.84,1.15,8.72,1.15,1.38,11.71,74.51,2.07,66.67,3.9,76.47,2.98,76.92,9.64,80.95,0.92,50,15.53,22.49,0.28,0.92,0,0,0,0,0.69,0.46,50,1.38,16.67,0.23,0,0.69,0.46,0.92,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Ebanks,Eastleigh,CF,20,50000,,7,198,1,0.6,0,0.03,34.09,32,England,England,,0,0,yes,4.55,3.18,85.71,12.27,33.33,0,0,0,1.82,3.16,2.27,2,0.91,0,0,1.82,0.45,1,0.45,0.27,1,0.45,5,2.27,60,20,0,0,0,0,0,0,0,0,0.91,50,10.91,12.5,4.09,0.45,0,5,2.73,0,9.09,70,2.27,60,1.82,50,1.82,75,9.09,70,0,0,11.69,0,0.01,0.45,0,0,0,0,0,0.91,100,0.45,100,0,0,0.91,0,1.36,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Linton,Yeovil Town,"CF, RWF",21,50000,2024-06-30,13,1008,2,1.77,2,0.44,24.55,30.55,England,England,,0,0,no,3.84,4.82,61.11,5.54,12.9,0.09,0.11,0.36,0.8,1.01,1.16,1,0.09,0,0,1.61,0.18,2,0.18,0.16,0,0,18,1.61,22.22,11.111,0.18,0.36,25,0.18,50,0.18,0,0.09,2.05,52.17,10.45,30.77,1.96,0.71,0.18,5.54,0.98,1.07,10.18,79.82,2.32,65.38,2.77,93.55,3.21,83.33,9.2,85.44,0.63,28.57,14.76,18.58,0.04,0.63,0,0,0.18,50,0.36,0.89,80,0.8,55.56,0.27,33.33,0.45,0.18,0.8,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
A. Cosgrave,Southend United,CF,23,0,,4,216,0,0.14,0,0.23,28.75,21.74,England,England,right,185,74,yes,1.67,2.5,33.33,6.67,12.5,0,0,0,0.83,1.58,1.67,1,0.42,0,0,2.92,0,0,0,0.06,0,0,3,1.25,0,0,0,0.83,0,0,0,0.42,0,0,3.33,75,12.92,29.03,2.08,0,0,6.67,2.08,0.42,14.17,82.35,2.5,83.33,4.17,90,3.33,75,13.33,87.5,0,0,18.77,0,0.1,1.25,0,0,0.42,100,0.42,0.42,100,1.25,100,0.42,100,1.67,0,1.67,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
O. Koszela,Torquay United,CF,20,0,2022-12-31,1,63,0,0.02,0,0,21.43,13.33,Poland,Poland,,176,77,no,2.86,4.29,33.33,4.29,33.33,0,0,1.43,1.43,2.5,1.43,0,0,0,0,1.43,0,0,0,0.03,0,0,1,1.43,0,0,0,1.43,0,0,0,1.43,0,0,0,0,8.57,0,0,0,0,2.86,0,0,12.86,55.56,4.29,33.33,5.71,100,1.43,0,11.43,62.5,0,0,23.27,0,0,0,0,0,1.43,100,0,2.86,0,0,0,1.43,100,0,0,1.43,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
